title,tags,category,expected,predicted,rule,is_game,is_cover,suspicious
Brasil-M4IA,"M4IA,Brasil,MV",MV,irrelevant,ia_related,fallback,False,False,True
2iA7yBp,绝区零UP主激励计划,音MAD,irrelevant,ia_related,fallback,False,False,True
IA获得“同时吃下世界杯”冠军——MII新闻,"直播切片,IA",单机游戏,irrelevant,ia_related,nonsong_mixed:新闻,False,False,True
“来了云南才知道的地方”！,"音乐分享官,创作灵感,生活记录,IA,云南,旅游,大理,丽江,记录,原创",音乐综合,irrelevant,ia_related,nonsong_mixed:来了,False,False,True
【绘画过程】 维什戴尔 摸鱼,"维什戴尔,明日方舟,IA,明日方舟创作者应援计划,必剪创作,维神,雨宿り,摸鱼,绘画过程,绘画",日常,irrelevant,ia_related,nonsong_mixed:绘画,False,False,True
IA IA AA YEYE YEYE 这才是真正的音乐,meme,演奏,irrelevant,ia_related,fallback,False,False,True
iV2h3IA,绝区零UP主激励计划,音MAD,irrelevant,ia_related,fallback,False,False,True
t5Ia4N,绝区零UP主激励计划,音MAD,irrelevant,ia_related,fallback,False,False,True
IA3v9BdQfa,绝区零UP主激励计划,音MAD,irrelevant,ia_related,fallback,False,False,True
(test #17)［草鞋TV］小邪刚过完生日就被迫和小牛不紧不慢不快不慢的ouz ia,"Evil Neuro,Neuro-sama,Neuro,虚拟主播",音乐综合,irrelevant,ia_related,fallback,False,False,True
ia78mDJ55x,绝区零UP主激励计划,音MAD,irrelevant,ia_related,fallback,False,False,True
希腊奶！雅珂达卸甲后竟然长这样！,"IA,六兆年零一夜物语,OP,原批干的那些事,雅珂达,动画种草激励计划,原批,原神,截肢,可达鸭",VOCALOID·UTAU,irrelevant,ia_music,music_only_ia,False,False,True
【IA福袋】谁又来还kpop专辑盲盒开箱的债来了,"生活记录,开箱,kpop专辑盲盒,ia福袋,随手记录我的生活碎片,吒,礼,芙",仿妆cos,irrelevant,ia_music,music_signal,False,False,False
IA大作,"IA,我的世界",单机游戏,irrelevant,ia_music,music_only_ia,False,False,True
【死神袭来】光学迷彩皮肤演奏瞬息全宇宙《Godless times》,"Rings of Saturn,土星环,光与影,8弦,六兆年,IA,死神,演奏,电吉他,COSPLAY",演奏,irrelevant,ia_music,music_only_ia,False,True,True
这就是镜流姐姐还没有深陷魔阴身时候吗，当初可就是为了镜流姐姐入坑的崩铁啊来欣赏两段镜流姐姐的舞剑,"崩坏：星穹铁道创作者激励计划,镜流,ia,舞剑",日常,irrelevant,ia_music,music_only_ia,False,False,True
荷兰死核distant乐队cover技术死IA段落:Decapitation fornication,"死核,IA,COVER,翻弹,荷兰,技术",音乐教学,irrelevant,ia_music,music_only_ia,False,True,True
我不是IA,"IA,抽象",日常,irrelevant,ia_music,music_only_ia,False,False,True
不同IA的估价,"IA,汽车,影视神仙剪刀手,必剪创作",日常,irrelevant,ia_music,music_only_ia,False,False,True
爱我，恨我，不要对我置之不理,"izzaxl,ia,摇滚同人,情感,美女",篮球,irrelevant,ia_music,music_only_ia,False,False,True
史上最糖巨人最后被溜飞,IA,日常,irrelevant,ia_music,music_only_ia,False,False,True
【塔语｜Hymmnos】METHOD_JUDGEMENT/. -Collect-,"ar tonelico,hymmnos,midi,ia",演奏,irrelevant,ia_music,music_signal,False,False,False
功夫杯 牛黄上来就是十二D俄罗斯选手都慌了！,"igmacsed,SCBOY,星际争霸2,搞笑,整点电子榨菜,李培楠,瞧尔萨斯,ia,功夫杯",网络游戏,irrelevant,ia_music,music_only_ia,False,False,True
坏了 Ai真让黄哥训练好了,"整点电子榨菜,ia,牛黄,孙一峰,AI,人工智能,星际争霸2",网络游戏,irrelevant,ia_music,music_only_ia,False,False,True
孙哥想驯服Ai反被Ai整崩溃了 人工智能变人工智障！,"SCBOY,黄旭东,孙一峰,人工智能,星际争霸2,搞笑,整点电子榨菜,Ai,ia,bb",网络游戏,irrelevant,ia_music,music_only_ia,False,False,True
好看吧，我呛了四口海水拍出来的,"IA,为什么有点奇怪呢是我后面不会画摆了,画师热点情报站,無題,guiano,oc,自设,绘画过程,画画,海",日常,irrelevant,ia_music,music_only_ia,False,False,True
iA研究的Ai不认识SCBOY 只知道CSBOY！,"黄旭东,整点电子榨菜,CSBOY,瞧尔萨斯,scboy,IA,孙一峰,星际争霸2",网络游戏,irrelevant,ia_music,music_only_ia,False,False,True
俩小孩能犯多大的错呢,"臭企鹅,白子,菲比,IA,AI",日常,irrelevant,ia_music,music_only_ia,False,False,True
【MMFC12/淘汰】黒い涙と護るべき命と SSS+ FC,"MMFC12,神之天平,maimai,自制谱,IA",日常,irrelevant,ia_music,music_only_ia,True,False,True
【ウマ娘】米浴被大家所厌恶。【AIきりたん】,"米浴,IA,VOCALOID,赛马娘",VOCALOID·UTAU,irrelevant,ia_music,music_signal,False,False,False
